device_id,name,description,serialNr,type,typeDisplayName,dnr_str,feeder,phase
217,D0263 SP1 L1 / UMG801-4700-2324 / Measurement Group 3,Basic Device of UMG801,47002324,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0263,SP1,L1
218,D0263 SP1 L1 / Mod 1,,48006048,Janitza800-CT8-A,800-CT8-A,D0263,SP1,L1
219,D0263 SP1 L1 / Mod 1 / Measurement Group 1,Mod. 1,48006048,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0263,SP1,L1
220,D0263 SP1 L1 / Mod 1 / Measurement Group 2,Mod. 1,48006048,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0263,SP1,L1
221,D1456 SP1 L1,D1456 Gjúkabryggja 2A SP1 L1,47002313,JanitzaUMG801,UMG 801,D1456,SP1,L1
222,D1456 SP1 L1 / UMG801-4700-2313,,47002313,JanitzaUMG801BaseModule,UMG801BaseModule,D1456,SP1,L1
223,D1456 SP1 L1 / UMG801-4700-2313 / Measurement Group 1,Basic Device of UMG801,47002313,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1456,SP1,L1
224,D1456 SP1 L1 / UMG801-4700-2313 / Measurement Group 2,Basic Device of UMG801,47002313,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1456,SP1,L1
225,D1456 SP1 L1 / UMG801-4700-2313 / Measurement Group 3,Basic Device of UMG801,47002313,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1456,SP1,L1
226,D1456 SP1 L1 / Mod 1,,48005111,Janitza800-CT8-A,800-CT8-A,D1456,SP1,L1
227,D1456 SP1 L1 / Mod 1 / Measurement Group 1,Mod. 1,48005111,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1456,SP1,L1
228,D1456 SP1 L1 / Mod 1 / Measurement Group 2,Mod. 1,48005111,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1456,SP1,L1
229,D0710 SP1 L1,D0710 Skólatröð SP1 L1,1743-5380,JanitzaUMG96RME,UMG 96RM-E,D0710,SP1,L1
230,D1299 SP1 L1,D1299 Bygggarðar SP1 L1,47001575,JanitzaUMG801,UMG 801,D1299,SP1,L1
231,D1299 SP1 L1 / UMG801-4700-1575,,47001575,JanitzaUMG801BaseModule,UMG801BaseModule,D1299,SP1,L1
232,D1299 SP1 L1 / UMG801-4700-1575 / Device-232,Basic Device of UMG801,47001575,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1299,SP1,L1
233,D1299 SP1 L1 / UMG801-4700-1575 / Device-233,Basic Device of UMG801,47001575,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1299,SP1,L1
