device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,Ia_label,Ib_label,Ic_label,cur_dev_ratio,cur_ratio,current_unbalance_rms,dib,neutral_from_trms_120deg,neutral_from_trms_and_pf,phase_unbalance_metrics.UC,phase_unbalance_metrics.Unbalance_a,phase_unbalance_metrics.Unbalance_b,phase_unbalance_metrics.Unbalance_c,sequence_unbalance_factors.I0,sequence_unbalance_factors.I1,sequence_unbalance_factors.I2,sequence_unbalance_factors.M0,sequence_unbalance_factors.M0_angle_deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2,sequence_unbalance_factors.M2_angle_deg,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
373,D1365 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,0.9796705190092325,0.9471046912794312,1.0069482208126121,L1,L2,L3,1.0499666996932235,2.039849049803464,0.042370800395193524,0.0098988235011024,0.051893420480779606,,1.0006257721799765,1.0018025304874891,0.9685009990092033,1.0296964705033071,,,,,,,,,,,
375,D1416 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,167.86143879890443,155.90827055507236,98.32511977354686,L1,L2,L3,10.038776520878098,16.474098763325337,52.580088590611034,0.06435322242447239,64.39719383866647,,1.046552586741103,1.193059667273417,1.1081036283529255,0.6988367043736571,,,,,,,,,,,
376,D1405 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,126.48638016117944,130.01632748179966,92.49612826771207,L1,L2,L3,6.830056316277079,10.750809273097124,29.300529579586033,0.03920752956820045,35.88567333165521,,1.0211458057207836,1.0872791007837115,1.1176225887046014,0.7950983105116877,,,,,,,,,,,
377,D0579 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,242.65691981315612,223.9382686720954,93.59398423565759,L1,L2,L3,16.625765819834303,26.609392476023974,114.83289184545393,0.09983626656189667,140.64099535478488,,1.1260620708926117,1.29950879968569,1.199264174909339,0.5012270254049709,,,,,,,,,,,
378,D1133 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,3122.6352784050837,3215.740784242418,3147.137716123793,L1,L2,L3,0.568265032790902,0.9815546949676658,68.2529257656062,0.00568265032790902,83.5924207888079,,1.0001553252573558,0.9876013101346971,1.0170479509837271,0.9953507388815761,,,,,,,,,,,
379,D1133 SP2 L1,2025-09-01 12:00,2025-10-01 12:00,15m,0.2988910120446235,0.3169002304164072,0.3399203923634357,L1,L2,L3,2.233921472125657,4.293071133987815,0.029084187294678307,0.022339214721256568,0.03562070922774987,,1.0027783142977702,0.9382255101441352,0.994756845692095,1.0670176441637698,,,,,,,,,,,
380,D1248 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,160.17835862371658,131.92459515465632,129.99798701869116,L1,L2,L3,4.614546697743509,7.150036564248126,23.894502849627486,0.046145466977435094,29.26466981953322,,1.0096135682188971,1.1384364009323054,0.9376282950628329,0.9239353040048616,,,,,,,,,,,
381,D1248 SP2 L1,2025-09-01 12:00,2025-10-01 12:00,15m,170.26860315269894,142.0013810661104,149.1725108438068,L1,L2,L3,3.565869703784891,6.125838514884237,20.78064850998334,0.03565869703784891,25.450992686792933,,1.0060842110992236,1.1069760911135467,0.9232009356670196,0.9698229732194342,,,,,,,,,,,
382,D1354 SP2 L1,2025-09-01 12:00,2025-10-01 12:00,15m,174.7868032640881,152.97885340584648,150.0333941989475,L1,L2,L3,3.248322269840563,5.180715411662349,19.122357484589187,0.03248322269840563,23.420009258167255,,1.004805223087981,1.0974496680952168,0.9605221261594367,0.9420282057453464,,,,,,,,,,,
383,D1354 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,135.61250946963276,130.7540281454722,130.31436467347322,L1,L2,L3,0.8534673639629277,1.335618822482467,4.158063773235608,0.008534673639629276,5.092567281190543,,1.0003296256215812,1.025604020918888,0.9888605228366981,0.9855354562444139,,,,,,,,,,,
