device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,cur_dev_ratio,cur_ratio,current_unbalance_rms,dib,neutral_from_trms_120deg,neutral_from_trms_and_pf,phase_unbalance_metrics.UC,phase_unbalance_metrics.Unbalance_a,phase_unbalance_metrics.Unbalance_b,phase_unbalance_metrics.Unbalance_c,sequence_unbalance_factors.I0,sequence_unbalance_factors.I1,sequence_unbalance_factors.I2,sequence_unbalance_factors.M0,sequence_unbalance_factors.M0_angle_deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2,sequence_unbalance_factors.M2_angle_deg,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
202,D1525 SP1 L1 / UMG801-4700-2316 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,195.6972825606664,174.22652499675752,164.45529549121858,3.288099174826105,5.8464088305870705,22.601859160001084,0.03288099174826105,27.681511090126666,,1.0053667411661165,1.098642975244783,0.9781063144280456,0.923250710327171,,,,,,,,,,,
207,D0303 SP1 L1 / UMG801-4700-2320 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,172.2576904296875,191.3527069091797,158.7642059326172,3.2979855919727212,6.238530888077241,23.1567425323176,0.03297985591972721,28.361101654591717,,1.0058953837505236,0.9892767911239538,1.0989395677591816,0.9117836411168644,,,,,,,,,,,
215,D0263 SP1 L1 / UMG801-4700-2324 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,36.15084155069457,29.186946654982037,21.68339124090142,8.415961058216366,16.62520595767685,10.232404318911623,0.08209244899460486,12.532084711592166,,1.041478850176907,1.2462773469838146,1.0062014847626763,0.747521168253509,,,,,,,,,,,
223,D1456 SP1 L1 / UMG801-4700-2313 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,41.46925926340951,24.489909668101205,25.40245366361406,12.056906118940134,18.584772372699035,13.506458842655773,0.12056906118940133,16.541966198204207,,1.0655656914455993,1.361707183568204,0.804164012387233,0.8341288040445634,,,,,,,,,,,
232,D1299 SP1 L1 / UMG801-4700-1575 / Device-232,2025-09-01 12:00,2025-10-01 12:00,15m,98.694186602813,5.469457083476891,5.400878504256483,56.74526567809802,85.14919449592252,76.14568543904745,0.5674526567809802,93.2590377200706,,2.44901191725804,2.7023579703429403,0.14975989419179384,0.14788213546526532,,,,,,,,,,,
240,D1411 SP1 L1 / UMG801-4700-1622 / Device-240,2025-09-01 12:00,2025-10-01 12:00,15m,261.8872713512844,246.91386460463207,233.58556551933287,1.9430624898770825,3.8122592680756835,20.02359457495283,0.019430624898770826,24.52379476249748,,1.002182453373567,1.0582918746963124,0.9977840286496458,0.943924096654042,,,,,,,,,,,
248,D0176 SP2 L1 / UMG801-4700-2673 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,243.3963683221633,190.1445351749026,185.0847613092005,6.011359615735825,9.42599221634688,45.68589336454591,0.06011359615735825,55.95356359317057,,1.0163617454253802,1.1803407884720747,0.9220981895462568,0.8975610219816683,,,,,,,,,,,
253,D0173 SP1 L1 / UMG801-4700-2803 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,349.27898316383363,319.6647327423096,290.86858223809134,3.057009220013092,6.085606637743325,41.303740945166716,0.030570092200130922,50.58654489187929,,1.0055555544761308,1.0917102766003928,0.9991476459315144,0.909142077468093,,,,,,,,,,,
261,D0006 SP2 L1 / UMG801-4700-2328 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,343.9008650466691,340.64799054839125,328.8485631541934,0.8832247115784118,1.4853305933079426,11.200884959007462,0.006021058817295309,13.718226408591578,,1.0003664935541354,1.018063176451886,1.0084335648954665,0.9735032586526476,,,,,,,,,,,
272,D0615 SP1 L1 / UMG801-4700-2818 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,136.71430206033827,135.5308383889975,138.8556996325976,0.44322124751435527,0.8087702382066304,2.383336045200709,0.004432212475143553,2.9189785981622807,,1.000100831235497,0.9976698322953373,0.9890335302792318,1.0132966374254306,,,,,,,,,,,
