device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,Va_avg,Vb_avg,Vc_avg,I4_avg,I4_label,Ia_label,Ib_label,Ic_label,Va_label,Vb_label,Vc_label,cur_dev_ratio,cur_ratio,dib,neutral_from_trms_120deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
294,D0383 SP1 L1 / UMG801-4700-2318 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,17.82637583176567,34.55073242328346,0.0,234.4640537797588,234.12278522900795,233.75023686395932,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,33.33333333333333,65.96533022602061,0.32631996892687276,29.92688498391484,,,0.0015022494223863743,0.12617504451917846
297,D0383 SP1 L1 / Mod1 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,38.044353499750024,3.020374178668467e-09,57.482338851282044,234.4640537797588,234.12278522900795,233.75023686395932,65.32365483388509,Input04,Input01,Input02,Input03,L1,L2,L3,33.33333333017152,60.17411200129672,0.26840778671125204,50.64300241384229,,,0.0015022494223863743,0.12617504451917846
298,D0383 SP1 L1 / Mod1 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,11.101624014693606,0.0,0.0,234.4640537797588,234.12278522900795,233.75023686395932,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,66.66666666666666,100.0,0.6666666666666666,11.101624014693606,,,0.0015022494223863743,0.12617504451917846
301,D0613 SP1 L1 / UMG801-4700-2675 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,131.35294478119968,131.8309992623336,118.88076162727567,235.7414390823142,234.9482708307256,235.41782741127375,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,2.2179856284069834,3.389540421515925,0.011715547931089417,12.71795076882322,0.044069949434853706,0.0547204789686973,0.0015816003421532067,0.20202608657938043
302,D0613 SP1 L1 / UMG801-4700-2675 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,0.0,10.642548287911923,235.7414390823142,234.9482708307256,235.41782741127375,38.31245609112477,Input08,Input05,Input06,Input07,L1,L2,L3,66.66666666666666,100.0,0.6666666666666666,10.642548287911923,,,0.0015816003421532067,0.20202608657938043
305,D0613 SP1 L1 / Mod1 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,40.81049395356218,0.0,0.0,235.7414390823142,234.9482708307256,235.41782741127375,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,66.66666666666666,100.0,0.6666666666666666,40.81049395356218,,,0.0015816003421532067,0.20202608657938043
306,D0613 SP1 L1 / Mod1 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,0.0,0.0,235.7414390823142,234.9482708307256,235.41782741127375,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0015816003421532067,0.20202608657938043
309,D0613 SP2 L1 / UMG801-4700-2812 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,142.46152046198384,142.00708489851914,132.66890552804233,240.93893584316064,240.0775176841582,240.69583679241055,15.519810802382146,Input04,Input01,Input02,Input03,L1,L2,L3,1.5287360326868191,2.3475747633153974,0.008188387306285782,9.573489773352991,0.05794518397815254,0.06320706570143295,0.0015304120832737899,0.19060003990441302
310,D0613 SP2 L1 / UMG801-4700-2812 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,31.0288606189528,38.13239732643603,17.524641556450277,240.93893584316064,240.0775176841582,240.69583679241055,43.397943206930265,Input08,Input05,Input06,Input07,L1,L2,L3,13.117079412961335,23.772904115217198,0.10655824702255859,18.131516264752907,,,0.0015304120832737899,0.19060003990441302
313,D0613 SP2 L1 / Mod 1 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,0.0,0.0,240.93893584316064,240.0775176841582,240.69583679241055,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,0.0,0.0,,0.0,,,0.0015304120832737899,0.19060003990441302
